2020_area_damaged_all,2010_area_damaged_all,2017_area_damaged_all,2008_area_damaged_all,2006_area_damaged_all,2016_area_damaged_all,2000_area_damaged_all,2002_area_damaged_all,2009_area_damaged_all,2007_area_damaged_all,2004_area_damaged_all,2012_area_damaged_all,2019_area_damaged_all,2018_area_damaged_all,2013_area_damaged_all,2015_area_damaged_all,2014_area_damaged_all,2001_area_damaged_all,2005_area_damaged_all,2011_area_damaged_all,2003_area_damaged_all,2020_CountyName
0.059812909632572,0.0239251638530288,0.0119625819265144,0.0179438728897716,0.0239251638530288,0.0179438728897716,0.0,0.0,0.0,0.0239251638530288,0.0119625819265144,0.0179438728897716,0.0,0.0119625819265144,0.0119625819265144,0.0119625819265144,0.0119625819265144,0.0,0.0119625819265144,0.0,0.0179438728897716,Clay
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Henderson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rutherford
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Polk
0.00475003253090436,0.0,0.0,0.2375016265452181,0.0,3.5676702667534173,0.0,0.0035625243981782704,0.0,0.0,0.0,0.0,3.5676702667534173,0.00237501626545218,0.0,0.0,0.00237501626545218,0.0,12.231333767078727,3.5676702667534173,18.79281099544568,Dare
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lee
21.81325108695652,6.6334676086956526,9.47711445652174,29.410239130434785,14.213109130434784,29.410239130434785,6.6334676086956526,0.04730869565217391,9.47711445652174,6.6334676086956526,6.6334676086956526,0.9461739130434784,6.6334676086956526,6.6334676086956526,9.47711445652174,14.213109130434784,2.838521739130435,0.9461739130434784,2.838521739130435,2.838521739130435,6.6334676086956526,Graham
23.778414705882355,23.778414705882355,4.748823529411765,23.778414705882355,23.778414705882355,49.20308823529411,49.20308823529411,11.097736764705882,36.49338970588234,15.855134558823528,23.778414705882355,4.748823529411765,11.097736764705882,4.748823529411765,15.855134558823528,36.49338970588234,4.748823529411765,11.097736764705882,11.097736764705882,11.097736764705882,23.778414705882355,Haywood
1.1004651162790702,0.018341085271317833,0.3668217054263566,0.3668217054263566,2.571725839793282,2.571725839793282,0.3668217054263566,0.018341085271317833,0.3668217054263566,2.571725839793282,1.1004651162790702,0.007336434108527131,0.018341085271317833,0.007336434108527131,1.1004651162790702,0.3668217054263566,0.007336434108527131,0.007336434108527131,0.3668217054263566,0.018341085271317833,2.571725839793282,Swain
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lincoln
3.2384500978473576,0.16192250489236787,0.06476900195694714,0.048576751467710365,0.048576751467710365,0.16192250489236787,0.03238450097847357,0.048576751467710365,0.048576751467710365,22.70423389432485,0.048576751467710365,3.2384500978473576,0.16192250489236787,0.06476900195694714,0.048576751467710365,0.06476900195694714,0.16192250489236787,9.715350293542073,32.4371257925636,0.048576751467710365,0.16192250489236787,Buncombe
